Country or Area,Subgroup,Year,Value
Botswana,Female,2000,83057
Botswana,Female,1999,81132
Botswana,Male,2005,81163
Botswana,Male,2004,83168
Botswana,Male,2003,81130
Botswana,Male,2002,81091
Botswana,Male,2001,80073
Botswana,Male,2000,79606
Botswana,Male,1999,76583
Brazil,Female,2004,12964314
Brazil,Female,2003,12726010
Brazil,Female,2002,13811953
Brazil,Female,2001,13642601
Brazil,Female,2000,13475477
Brazil,Female,1999,12943725
Brazil,Male,2004,12163189
Brazil,Male,2003,11866559
Brazil,Male,2002,12977257
Brazil,Male,2001,12798647
Brazil,Male,2000,12621393
Brazil,Male,1999,12039174
British Virgin Islands,Female,2005,1020
British Virgin Islands,Female,2004,890
British Virgin Islands,Female,2003,877
British Virgin Islands,Female,2002,804
British Virgin Islands,Female,2001,796
British Virgin Islands,Female,2000,776
British Virgin Islands,Female,1999,707
British Virgin Islands,Male,2005,862
British Virgin Islands,Male,2004,817
British Virgin Islands,Male,2003,756
British Virgin Islands,Male,2002,789
British Virgin Islands,Male,2001,766
British Virgin Islands,Male,2000,767
British Virgin Islands,Male,1999,804
Brunei,Female,2005,21434
Brunei,Female,2004,20676
Brunei,Female,2003,19726
Brunei,Female,2002,19051
Brunei,Female,2001,18345
Brunei,Female,2000,17572
Brunei,Female,1999,17472
Brunei,Male,2005,22466
Brunei,Male,2004,21491
Brunei,Male,2003,20296
Brunei,Male,2002,19641
Brunei,Male,2001,18641
Brunei,Male,2000,17637
Brunei,Male,1999,16954
Bulgaria,Female,2005,326734
Bulgaria,Female,2004,336281
Bulgaria,Female,2003,340145
Bulgaria,Female,2002,333735
Bulgaria,Female,2001,335009
Bulgaria,Female,2000,335110
Bulgaria,Female,1999,337487
Bulgaria,Male,2005,358906
Bulgaria,Male,2004,368397
Bulgaria,Male,2003,367106
Bulgaria,Male,2002,359554
Bulgaria,Male,2001,360465
Bulgaria,Male,2000,360963
Bulgaria,Male,1999,362470
Burkina Faso,Female,2005,120331
Burkina Faso,Female,2004,107200
Burkina Faso,Female,2003,94598
Burkina Faso,Female,2002,80201
Burkina Faso,Female,2001,78027
Burkina Faso,Female,2000,73887
Burkina Faso,Female,1999,65018
Burkina Faso,Male,2005,175081
Burkina Faso,Male,2004,158308
Burkina Faso,Male,2003,142316
Burkina Faso,Male,2002,124646
Burkina Faso,Male,2001,121251
Burkina Faso,Male,2000,115802
Burkina Faso,Male,1999,108187
Burundi,Female,2005,74001
Burundi,Female,2004,65523
Burundi,Female,2003,56263
Burundi,Male,2005,99716
Burundi,Male,2004,86728
Burundi,Male,2003,72941
Cambodia,Female,2004,253999
Cambodia,Female,2003,215017
Cambodia,Female,2002,175856
Cambodia,Female,2001,141461
Cambodia,Female,2000,122613
Cambodia,Female,1999,109272
Cambodia,Male,2004,377509
Cambodia,Male,2003,345180
Cambodia,Male,2002,299781
Cambodia,Male,2001,255415
Cambodia,Male,2000,228744
Cambodia,Male,1999,208829
Cameroon,Female,2005,528734
Cameroon,Female,2004,475323
Cameroon,Female,2003,416479
Cameroon,Female,2002,396511
Cameroon,Female,2001,373747
Cameroon,Female,1999,281724
Cameroon,Male,2005,668771
Cameroon,Male,2004,685634
Cameroon,Male,2003,603479
Cameroon,Male,2002,535690
Cameroon,Male,2001,474469
Cameroon,Male,1999,344329
Canada,Female,2004,1441508
Canada,Female,2002,1316517
Canada,Female,2000,1274114
Canada,Male,2004,1557736
Canada,Male,2002,1392508
Canada,Male,2000,1347343
Cape Verde,Female,2005,26719
Cape Verde,Female,2004,25980
Cape Verde,Female,2003,25736
Cape Verde,Female,2002,24481
Cape Verde,Female,2001,23402
Cape Verde,Male,2005,24953
Cape Verde,Male,2004,23810
Cape Verde,Male,2003,23786
Cape Verde,Male,2002,23574
Cape Verde,Male,2001,22552
Cayman Islands,Female,2005,1349
Cayman Islands,Female,2004,1373
Cayman Islands,Female,2002,1181
Cayman Islands,Female,2001,1132
Cayman Islands,Female,2000,1153
Cayman Islands,Female,1999,1041
Cayman Islands,Male,2005,1475
Cayman Islands,Male,2004,1328
Cayman Islands,Male,2002,1160
Cayman Islands,Male,2001,1205
Cayman Islands,Male,2000,1189
Cayman Islands,Male,1999,1110
Chad,Female,2005,58597
Chad,Female,2004,56408
Chad,Female,2003,51567
Chad,Female,2002,45982
Chad,Female,2001,31390
Chad,Female,2000,30338
Chad,Female,1999,25530
Chad,Male,2005,178157
