Country or Area,Subgroup,Year,Value
Congo Dem. Rep.,Female,1999,1905659
Congo Dem. Rep.,Male,2003,3137527
Congo Dem. Rep.,Male,2002,3062842
Congo Dem. Rep.,Male,1999,2116752
Cook Islands,Female,2004,1069
Cook Islands,Female,2003,1063
Cook Islands,Female,2002,1119
Cook Islands,Female,2001,1118
Cook Islands,Female,2000,1126
Cook Islands,Female,1999,1203
Cook Islands,Male,2004,1196
Cook Islands,Male,2003,1191
Cook Islands,Male,2002,1269
Cook Islands,Male,2001,1284
Cook Islands,Male,2000,1253
Cook Islands,Male,1999,1391
Costa Rica,Female,2005,261560
Costa Rica,Female,2004,269602
Costa Rica,Female,2003,260624
Costa Rica,Female,2002,262549
Costa Rica,Female,2001,267851
Costa Rica,Female,2000,265403
Costa Rica,Female,1999,265702
Costa Rica,Male,2005,280527
Costa Rica,Male,2004,288482
Costa Rica,Male,2003,280870
Costa Rica,Male,2002,282960
Costa Rica,Male,2001,284451
Costa Rica,Male,2000,286062
Costa Rica,Male,1999,286578
Côte d’Ivoire,Female,2003,904403
Côte d’Ivoire,Female,2002,896061
Côte d’Ivoire,Female,2001,884561
Côte d’Ivoire,Female,2000,829821
Côte d’Ivoire,Female,1999,813346
Côte d’Ivoire,Male,2003,1141762
Côte d’Ivoire,Male,2002,1220162
Côte d’Ivoire,Male,2001,1162300
Côte d’Ivoire,Male,2000,1113680
Côte d’Ivoire,Male,1999,1097474
Croatia,Female,2003,93380
Croatia,Female,2002,93852
Croatia,Female,2001,94977
Croatia,Female,2000,96647
Croatia,Female,1999,98486
Croatia,Male,2003,98624
Croatia,Male,2002,99327
Croatia,Male,2001,100661
Croatia,Male,2000,102437
Croatia,Male,1999,104513
Cuba,Female,2005,427511
Cuba,Female,2004,431878
Cuba,Female,2003,441776
Cuba,Female,2002,464004
Cuba,Female,2001,480713
Cuba,Female,2000,499140
Cuba,Female,1999,513674
Cuba,Male,2005,467534
Cuba,Male,2004,474415
Cuba,Male,2003,483559
Cuba,Male,2002,507538
Cuba,Male,2001,526175
Cuba,Male,2000,546438
Cuba,Male,1999,560423
Cyprus,Female,2005,29807
Cyprus,Female,2004,30094
Cyprus,Female,2003,30575
Cyprus,Female,2002,30982
Cyprus,Female,2001,30893
Cyprus,Female,2000,31018
Cyprus,Female,1999,31094
Cyprus,Male,2005,31440
Cyprus,Male,2004,31637
Cyprus,Male,2003,32293
Cyprus,Male,2002,32735
Cyprus,Male,2001,32744
Cyprus,Male,2000,32934
Cyprus,Male,1999,33154
Czech Republic,Female,2005,242940
Czech Republic,Female,2004,258298
Czech Republic,Female,2003,273560
Czech Republic,Female,2002,291978
Czech Republic,Female,2001,305524
Czech Republic,Female,2000,313196
Czech Republic,Female,1999,317462
Czech Republic,Male,2005,259891
Czech Republic,Male,2004,276068
Czech Republic,Male,2003,293021
Czech Republic,Male,2002,311865
Czech Republic,Male,2001,325156
Czech Republic,Male,2000,331760
Czech Republic,Male,1999,337049
Denmark,Female,2005,201679
Denmark,Female,2004,204386
Denmark,Female,2003,203324
Denmark,Female,2002,202262
Denmark,Female,2001,192701
Denmark,Female,2000,186850
Denmark,Female,1999,180839
Denmark,Male,2005,212424
Denmark,Male,2004,215420
Denmark,Male,2003,214182
Denmark,Male,2002,212943
Denmark,Male,2001,203169
Denmark,Male,2000,197347
Denmark,Male,1999,190855
Djibouti,Female,2005,22582
Djibouti,Female,2004,21316
Djibouti,Female,2003,20185
Djibouti,Female,2002,19020
Djibouti,Female,2001,18261
Djibouti,Female,2000,16008
Djibouti,Female,1999,15726
Djibouti,Male,2005,28069
Djibouti,Male,2004,27397
Djibouti,Male,2003,26379
Djibouti,Male,2002,25301
Djibouti,Male,2001,24431
Djibouti,Male,2000,22183
Djibouti,Male,1999,22468
Dominica,Female,2005,4596
Dominica,Female,2004,4772
Dominica,Female,2003,5053
Dominica,Female,2002,5275
Dominica,Female,2001,5522
Dominica,Female,2000,5688
Dominica,Female,1999,5816
Dominica,Male,2005,4845
Dominica,Male,2004,5100
Dominica,Male,2003,5407
Dominica,Male,2002,5709
Dominica,Male,2001,5908
Dominica,Male,2000,6086
Dominica,Male,1999,6228
Dominican Republic,Female,2005,617453
Dominican Republic,Female,2004,613314
Dominican Republic,Female,2003,678542
Dominican Republic,Female,2002,690991
Dominican Republic,Female,2001,693038
Dominican Republic,Female,2000,659741
Dominican Republic,Female,1999,639538
Dominican Republic,Male,2005,672292
Dominican Republic,Male,2004,668571
Dominican Republic,Male,2003,696082
Dominican Republic,Male,2002,708853
Dominican Republic,Male,2001,710810
Dominican Republic,Male,2000,703868
Dominican Republic,Male,1999,675804
Ecuador,Female,2005,980216
Ecuador,Female,2004,975297
Ecuador,Female,2003,975060
Ecuador,Female,2002,973075
Ecuador,Female,2001,960318
Ecuador,Female,2000,943612
Ecuador,Female,1999,932883
Ecuador,Male,2005,1020081
Ecuador,Male,2004,1014368
Ecuador,Male,2003,1012405
Ecuador,Male,2002,1009561
Ecuador,Male,2001,994742
Ecuador,Male,2000,981808
Ecuador,Male,1999,966583
Egypt,Female,2005,4527038
Egypt,Female,2004,3795531
Egypt,Female,2003,3748768
Egypt,Female,2002,3721203
Egypt,Female,2001,3704930
Egypt,Female,2000,3727936
Egypt,Female,1999,3775450
Egypt,Male,2005,5036589
Egypt,Male,2004,4132849
Egypt,Male,2003,4125540
Egypt,Male,2002,4134230
Egypt,Male,2001,4151410
Egypt,Male,2000,4219552
Egypt,Male,1999,4310780
El Salvador,Female,2005,503562
El Salvador,Female,2004,504283
El Salvador,Female,2003,489712
El Salvador,Female,2002,472258
El Salvador,Female,2001,465826
El Salvador,Female,2000,455314
El Salvador,Female,1999,452713
El Salvador,Male,2005,541922
El Salvador,Male,2004,541202
El Salvador,Male,2003,526386
El Salvador,Male,2002,515418
El Salvador,Male,2001,501922
El Salvador,Male,2000,493763
El Salvador,Male,1999,487164
Equatorial Guinea,Female,2005,36917
Equatorial Guinea,Female,2003,36310
Equatorial Guinea,Female,2002,37291
Equatorial Guinea,Female,2001,38315
Equatorial Guinea,Female,2000,35774
Equatorial Guinea,Female,1999,32969
Equatorial Guinea,Male,2005,38892
Equatorial Guinea,Male,2003,37461
Equatorial Guinea,Male,2002,41099
Equatorial Guinea,Male,2001,40162
Equatorial Guinea,Male,2000,37533
Equatorial Guinea,Male,1999,41971
Eritrea,Female,2005,167451
Eritrea,Female,2004,165652
Eritrea,Female,2003,159557
Eritrea,Female,2002,146218
Eritrea,Female,2001,134348
Eritrea,Female,2000,132945
Eritrea,Female,1999,118385
Eritrea,Male,2005,210061
Eritrea,Male,2004,209345
Eritrea,Male,2003,199742
Eritrea,Male,2002,184060
Eritrea,Male,2001,164343
Eritrea,Male,2000,162996
Eritrea,Male,1999,143578
Estonia,Female,2005,40998
Estonia,Female,2004,44101
Estonia,Female,2003,47798
Estonia,Female,2002,51876
Estonia,Female,2001,55940
Estonia,Female,2000,59107
Estonia,Female,1999,60698
Estonia,Male,2005,44541
Estonia,Male,2004,47997
Estonia,Male,2003,52373
Estonia,Male,2002,56761
Estonia,Male,2001,61349
Estonia,Male,2000,64299
Estonia,Male,1999,65973
Ethiopia,Female,2005,3686203
Ethiopia,Female,2004,2888807
Ethiopia,Female,2003,2590888
Ethiopia,Female,2002,2472206
Ethiopia,Female,2001,2271302
Ethiopia,Female,2000,1948224
Ethiopia,Female,1999,1660014
Ethiopia,Male,2005,4333084
Ethiopia,Male,2004,3601140
Ethiopia,Male,2003,3426417
Ethiopia,Male,2002,3341611
Ethiopia,Male,2001,3182103
Ethiopia,Male,2000,2925459
Ethiopia,Male,1999,2707915
Federated States of Micronesia,Female,2005,9044
Federated States of Micronesia,Female,2004,9234
Federated States of Micronesia,Male,2005,9749
Federated States of Micronesia,Male,2004,9871
Fiji,Female,2005,54537
Fiji,Female,2004,54428
Fiji,Female,2003,54826
Fiji,Female,2002,55541
Fiji,Female,2001,55719
Fiji,Female,2000,55115
Fiji,Female,1999,55967
Fiji,Male,2005,59106
Fiji,Male,2004,59021
Fiji,Male,2003,58606
Fiji,Male,2002,58726
Fiji,Male,2001,59593
Fiji,Male,2000,59595
Fiji,Male,1999,59978
Finland,Female,2005,186564
Finland,Female,2004,189451
Finland,Female,2003,191766
Finland,Female,2002,192116
Finland,Female,2001,191542
Finland,Female,2000,189304
Finland,Female,1999,186807
Finland,Male,2005,195221
Finland,Male,2004,198483
Finland,Male,2003,200975
Finland,Male,2002,201151
Finland,Male,2001,200608
Finland,Male,2000,198759
Finland,Male,1999,195939
France,Female,2005,1947457
France,Female,2004,1839492
France,Female,2003,1841972
France,Female,2002,1850538
France,Female,2001,1864022
France,Female,2000,1887082
France,Female,1999,1915052
France,Male,2005,2068033
France,Male,2004,1943705
France,Male,2003,1949583
France,Male,2002,1957201
France,Male,2001,1973880
France,Male,2000,1997478
France,Male,1999,2029175
Gabon,Female,2004,139103
Gabon,Female,2003,138381
Gabon,Female,2002,139393
Gabon,Female,2001,131728
Gabon,Female,2000,132098
Gabon,Female,1999,131720
Gabon,Male,2004,142268
Gabon,Male,2003,141435
Gabon,Male,2002,142478
Gabon,Male,2001,133986
Gabon,Male,2000,134123
