Country or Area,Subgroup,Year,Value
Comoros,Male,1999,372
Congo,Female,2003,1969
Congo,Female,2002,1923
Congo,Female,2001,1599
Congo,Female,2000,3716
Congo,Female,1999,2251
Congo,Male,2003,10487
Congo,Male,2002,10241
Congo,Male,2001,11804
Congo,Male,2000,11913
Congo,Male,1999,8462
Cook Islands,Female,2005,…
Cook Islands,Female,2004,…
Cook Islands,Female,2003,…
Cook Islands,Female,2002,…
Cook Islands,Female,2001,…
Cook Islands,Female,2000,…
Cook Islands,Female,1999,…
Cook Islands,Male,2005,…
Cook Islands,Male,2004,…
Cook Islands,Male,2003,…
Cook Islands,Male,2002,…
Cook Islands,Male,2001,…
Cook Islands,Male,2000,…
Cook Islands,Male,1999,…
Costa Rica,Female,2005,60144
Costa Rica,Female,2004,59083
Costa Rica,Female,2003,41608
Costa Rica,Female,2002,40467
Costa Rica,Female,2001,41722
Costa Rica,Female,2000,32923
Costa Rica,Female,1999,31012
Costa Rica,Male,2005,50573
Costa Rica,Male,2004,49682
Costa Rica,Male,2003,37891
Costa Rica,Male,2002,36816
Costa Rica,Male,2001,37460
Costa Rica,Male,2000,28731
Costa Rica,Male,1999,27749
Côte d’Ivoire,Female,1999,25398
Côte d’Ivoire,Male,1999,71283
Croatia,Female,2003,64749
Croatia,Female,2002,59028
Croatia,Female,2001,54637
Croatia,Female,2000,51021
Croatia,Female,1999,50726
Croatia,Male,2003,56973
Croatia,Male,2002,53509
Croatia,Male,2001,49531
Croatia,Male,2000,45777
Croatia,Male,1999,45163
Cuba,Female,2005,293089
Cuba,Female,2004,247063
Cuba,Female,2003,132543
Cuba,Female,2002,104036
Cuba,Female,2001,92824
Cuba,Female,2000,84826
Cuba,Female,1999,81558
Cuba,Male,2005,178769
Cuba,Male,2004,149453
Cuba,Male,2003,103454
Cuba,Male,2002,87226
Cuba,Male,2001,85197
Cuba,Male,2000,73848
Cuba,Male,1999,71905
Cyprus,Female,2005,10442
Cyprus,Female,2004,9990
Cyprus,Female,2003,9044
Cyprus,Female,2002,7636
Cyprus,Female,2001,6923
Cyprus,Female,2000,5945
Cyprus,Female,1999,6075
Cyprus,Male,2005,9636
Cyprus,Male,2004,10859
Cyprus,Male,2003,9228
Cyprus,Male,2002,6291
Cyprus,Male,2001,5011
Cyprus,Male,2000,4469
Cyprus,Male,1999,4767
Czech Republic,Female,2005,176965
Czech Republic,Female,2004,163409
Czech Republic,Female,2003,145451
Czech Republic,Female,2002,145747
Czech Republic,Female,2001,130298
Czech Republic,Female,2000,126289
Czech Republic,Female,1999,114991
Czech Republic,Male,2005,159342
Czech Republic,Male,2004,155449
Czech Republic,Male,2003,141550
Czech Republic,Male,2002,138738
Czech Republic,Male,2001,129746
Czech Republic,Male,2000,127406
Czech Republic,Male,1999,116233
Denmark,Female,2005,133376
Denmark,Female,2004,125628
Denmark,Female,2003,116844
Denmark,Female,2002,112698
Denmark,Female,2001,108290
Denmark,Female,2000,107644
Denmark,Female,1999,106957
Denmark,Male,2005,98879
Denmark,Male,2004,91502
Denmark,Male,2003,84902
Denmark,Male,2002,83506
Denmark,Male,2001,83732
Denmark,Male,2000,81518
Denmark,Male,1999,83013
Djibouti,Female,2005,708
Djibouti,Female,2004,508
Djibouti,Female,2003,371
Djibouti,Female,2002,324
Djibouti,Female,2001,207
Djibouti,Female,2000,89
Djibouti,Female,1999,89
Djibouti,Male,2005,988
Djibouti,Male,2004,626
Djibouti,Male,2003,535
Djibouti,Male,2002,404
Djibouti,Male,2001,289
Djibouti,Male,2000,101
Djibouti,Male,1999,86
Dominica,Female,2005,…
Dominica,Female,2004,…
Dominica,Female,2003,…
Dominica,Female,2002,…
Dominica,Female,2001,…
Dominica,Female,2000,…
Dominica,Female,1999,…
Dominica,Male,2005,…
Dominica,Male,2004,…
Dominica,Male,2003,…
Dominica,Male,2002,…
Dominica,Male,2001,…
Dominica,Male,2000,…
Dominica,Male,1999,…
Dominican Republic,Female,2004,180045
Dominican Republic,Female,2003,175973
Dominican Republic,Male,2004,113520
Dominican Republic,Male,2003,110981
El Salvador,Female,2005,66982
El Salvador,Female,2004,65451
El Salvador,Female,2003,62774
El Salvador,Female,2002,61449
El Salvador,Female,2001,59551
El Salvador,Female,2000,62222
El Salvador,Female,1999,65299
El Salvador,Male,2005,55449
El Salvador,Male,2004,54813
El Salvador,Male,2003,53747
El Salvador,Male,2002,51917
El Salvador,Male,2001,50395
El Salvador,Male,2000,52453
El Salvador,Male,1999,53192
Equatorial Guinea,Female,2000,304
Equatorial Guinea,Male,2000,699
Eritrea,Female,2004,606
Eritrea,Female,2003,768
Eritrea,Female,2002,738
Eritrea,Female,2001,738
Eritrea,Female,2000,592
Eritrea,Female,1999,540
Eritrea,Male,2004,4006
Eritrea,Male,2003,4987
Eritrea,Male,2002,4769
Eritrea,Male,2001,4767
Eritrea,Male,2000,3543
